id,display_name,description,works_count,cited_by_count,domain_id,domain_name,field_id,field_name
subfields/1603,Electrochemistry,branch of chemistry,160254,3201090,domains/3,Physical Sciences,fields/16,Chemistry
subfields/2806,Developmental Neuroscience,scientific study of the nervous system,156267,2919434,domains/1,Life Sciences,fields/28,Neuroscience
subfields/1403,Business and International Management,administration of a profit-oriented enterprise,135232,605835,domains/2,Social Sciences,fields/14,"Business, Management and Accounting"
subfields/3005,Toxicology,"scientific study of the harmful effects that chemicals, substances, or situations can have on living organisms and the environment",132114,1516258,domains/1,Life Sciences,fields/30,"Pharmacology, Toxicology and Pharmaceutics"
subfields/3206,Neuropsychology and Physiological Psychology,study of the brain related to specific psychological processes and behaviors,128672,783572,domains/2,Social Sciences,fields/32,Psychology
subfields/3603,Complementary and Manual Therapy,therapeutic practice not currently considered an integral part of conventional allopathic medical practice,128121,815438,domains/4,Health Sciences,fields/36,Health Professions
subfields/1410,Industrial relations,"study of the relationship between employers, employees and others",127891,49331,domains/2,Social Sciences,fields/14,"Business, Management and Accounting"
subfields/2718,Health Informatics,"discipline at the intersection of information science, computer science, and health care",124536,814227,domains/4,Health Sciences,fields/27,Medicine
subfields/2100,General Energy,Czech company,121639,293817,domains/3,Physical Sciences,fields/21,Energy
subfields/2747,Transplantation,moving of an organ or tissue from one body or body region to another,109396,1368816,domains/4,Health Sciences,fields/27,Medicine
subfields/2802,Behavioral Neuroscience,field of scientific study,108811,3263408,domains/1,Life Sciences,fields/28,Neuroscience
subfields/3607,Medical Laboratory Technology,equipment and software used in medical laboratories,108756,248753,domains/4,Health Sciences,fields/36,Health Professions
subfields/1912,Space and Planetary Science,science of astronomical objects apparently in orbit around one or more stellar objects within a few light years,107272,211391,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences
subfields/1409,"Tourism, Leisure and Hospitality Management",study of the hospitality industry.,101162,442258,domains/2,Social Sciences,fields/14,"Business, Management and Accounting"
subfields/1302,Aging,biological processes in a human body coupled to increasing age,100484,2068341,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/1309,Developmental Biology,explores the processes by which individual organisms grow and develop (ontogeny),98843,1159225,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2402,Applied Microbiology and Biotechnology,study of microscopic organisms,88968,819530,domains/1,Life Sciences,fields/24,Immunology and Microbiology
subfields/3319,Life-span and Life-course Studies,duration of life for an organism,83914,85495,domains/2,Social Sciences,fields/33,Social Sciences
subfields/1508,Process Chemistry and Technology,arm of pharmaceutical chemistry concerned with the development and optimization of a synthetic scheme and pilot plant procedure to manufacture compounds for the drug development phase,81426,1344101,domains/3,Physical Sciences,fields/15,Chemical Engineering
subfields/2714,Family Practice,medical specialty,78421,878144,domains/4,Health Sciences,fields/27,Medicine
subfields/2200,General Engineering,applied science,72379,43501,domains/3,Physical Sciences,fields/22,Engineering
subfields/1800,General Decision Sciences,branch of applied probability theory,71519,2038962,domains/2,Social Sciences,fields/18,Decision Sciences
subfields/2506,Metals and Alloys,an alloy designation system widely accepted in North America,66063,788624,domains/3,Physical Sciences,fields/25,Materials Science
subfields/3608,Medical Terminology,"language used in the field of medicine to precisely describe the human body including its components, processes, conditions affecting it, and procedures performed upon it",64686,47904,domains/4,Health Sciences,fields/36,Health Professions
subfields/2803,Biological Psychiatry,approach to psychiatry that aims to understand mental disorder in terms of the biological function of the nervous system,64554,1409609,domains/1,Life Sciences,fields/28,Neuroscience
subfields/3402,Equine,domesticated four-footed mammal from the equine family,63815,635231,domains/4,Health Sciences,fields/34,Veterinary
subfields/2911,Leadership and Management,academic degree,59885,135683,domains/4,Health Sciences,fields/29,Nursing
subfields/1506,Filtration and Separation,separating components suspended in a fluid based on granularity properties relying on a filter device,58827,708348,domains/3,Physical Sciences,fields/15,Chemical Engineering
subfields/2726,Microbiology,study of microscopic organisms,58653,224516,domains/4,Health Sciences,fields/27,Medicine
subfields/3500,General Dentistry,branch of medicine dealing with oral health and teeth,57889,250686,domains/4,Health Sciences,fields/35,Dentistry
subfields/1504,Chemical Health and Safety,prevention of occupational hazards,55108,143420,domains/3,Physical Sciences,fields/15,Chemical Engineering
subfields/2103,Fuel Technology,"technology used in the extraction, processing and consumption of fuel resources",49493,110747,domains/3,Physical Sciences,fields/21,Energy
subfields/2922,Research and Theory,systematic study undertaken to increase knowledge,45267,301244,domains/4,Health Sciences,fields/29,Nursing
subfields/1108,Horticulture,agriculture of plants,44757,158255,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/3102,Acoustics and Ultrasonics,"science that deals with the study of all mechanical waves in gases, liquids, and solids including vibration, sound, ultrasound and infrasound",26065,359484,domains/3,Physical Sciences,fields/31,Physics and Astronomy
subfields/2605,Computational Mathematics,area of mathematics,23218,282984,domains/3,Physical Sciences,fields/26,Mathematics
subfields/3002,Drug Discovery,the process by which new candidate medications are discovered,13234,4160,domains/1,Life Sciences,fields/30,"Pharmacology, Toxicology and Pharmaceutics"
subfields/2104,Nuclear Energy and Engineering,power generated from nuclear reactions,11730,27593,domains/3,Physical Sciences,fields/21,Energy
